Time [S],Force [N],Angle X [deg],Angle Y [deg]
0:132,-0.01,0,0
0:204,-0.02,0,0
0:293,-0.01,0,0
0:392,-0.01,0,0
0:491,-0.0,0,0
0:592,0.0,0,0
0:675,-0.0,0,0
0:781,0.05,0,0
0:881,0.69,0,0
0:973,0.46,0,0
1:068,0.49,0,0
1:168,0.45,0,0
1:258,0.53,0,0
1:366,0.51,0,0
1:464,0.53,0,0
1:557,0.52,0,0
1:656,0.55,0,0
1:756,0.5,0,0
1:839,0.56,0,0
1:942,0.55,0,0
2:044,0.59,0,0
2:143,0.52,0,0
2:239,0.62,0,0
2:323,0.59,0,0
2:432,0.65,0,0
2:530,0.65,0,0
2:631,0.67,0,0
2:724,0.74,0,0
2:819,0.7,0,0
2:914,0.38,0,0
3:014,0.32,0,0
3:114,0.27,0,0
3:215,0.26,0,0
3:297,0.21,0,0
3:397,0.16,0,0
3:498,0.17,0,0
3:597,0.2,0,0
3:691,0.14,0,0
3:789,0.14,0,0
3:889,0.14,0,0
3:991,0.22,0,0
4:089,0.16,0,0
4:176,0.21,0,0
4:273,0.12,0,0
4:378,0.26,0,0
4:473,0.18,0,0
4:564,0.18,0,0
4:662,0.19,0,0
4:765,0.2,0,0
4:864,0.16,0,0
4:942,0.19,0,0
5:049,0.24,0,0
5:148,0.21,0,0
5:248,0.2,0,0
5:341,0.15,0,0
5:439,0.25,0,0
5:542,0.16,0,0
5:639,0.21,0,0
5:739,0.17,0,0
5:829,0.16,0,0
5:928,0.27,0,0
6:029,0.1,0,0
6:123,0.2,0,0
6:217,0.17,0,0
6:311,0.27,0,0
6:414,0.13,0,0
6:515,0.22,0,0
6:608,0.16,0,0
6:702,0.21,0,0
6:789,0.24,0,0
6:902,0.14,0,0
6:998,0.18,0,0
7:089,0.25,0,0
7:189,0.19,0,0
7:290,0.17,0,0
7:390,0.24,0,0
7:490,0.18,0,0
7:576,0.19,0,0
7:676,0.16,0,0
7:776,0.22,0,0
7:876,0.18,0,0
7:961,0.18,0,0
8:066,0.16,0,0
8:158,0.2,0,0
8:260,0.21,0,0
8:348,0.2,0,0
8:447,0.22,0,0
8:550,0.12,0,0
8:641,0.24,0,0
8:754,0.21,0,0
8:839,0.21,0,0
8:939,0.16,0,0
9:040,0.19,0,0
9:140,0.2,0,0
9:229,0.18,0,0
9:328,0.16,0,0
9:429,0.21,0,0
9:529,0.18,0,0
9:615,0.19,0,0
9:716,0.18,0,0
9:808,0.2,0,0
9:916,0.24,0,0
9:998,0.18,0,0
10:106,0.15,0,0
10:203,0.15,0,0
10:304,0.23,0,0
10:388,0.14,0,0
10:493,0.18,0,0
10:593,0.16,0,0
10:690,0.21,0,0
10:780,0.19,0,0
10:881,0.19,0,0
10:980,0.2,0,0
11:080,0.21,0,0
11:173,0.19,0,0
11:262,0.19,0,0
11:367,0.16,0,0
11:467,0.24,0,0
11:561,0.21,0,0
11:655,0.18,0,0
11:757,0.21,0,0
11:857,0.23,0,0
11:954,0.18,0,0
12:054,0.16,0,0
12:138,0.16,0,0
12:243,0.19,0,0
12:339,0.21,0,0
12:440,0.13,0,0
12:526,0.18,0,0
12:629,0.2,0,0
12:728,0.19,0,0
12:828,0.19,0,0
12:915,0.17,0,0
13:007,0.2,0,0
13:116,0.19,0,0
13:216,0.21,0,0
13:316,0.18,0,0
13:405,0.2,0,0
13:505,0.01,0,0
13:597,-0.33,0,0
13:698,-0.42,0,0
13:796,-0.4,0,0
13:887,-0.48,0,0
13:988,-0.54,0,0
14:090,-0.57,0,0
14:184,-0.51,0,0
14:278,-0.5,0,0
14:375,-0.47,0,0
14:477,-0.41,0,0
14:579,-0.44,0,0
14:665,-0.48,0,0
14:767,-0.47,0,0
14:857,-0.52,0,0
14:961,-0.48,0,0
15:056,-0.84,0,0
15:148,-1.82,0,0
15:250,-0.39,0,0
15:346,0.04,0,0
15:454,0.05,0,0
15:541,-0.08,0,0
15:643,-0.02,0,0
15:740,0.0,0,0
15:841,0.09,0,0
15:924,-0.05,0,0
16:030,0.02,0,0
16:124,-0.06,0,0
16:229,0.07,0,0
16:317,0.01,0,0
16:414,-0.04,0,0
16:517,-0.04,0,0
16:616,-0.01,0,0
16:714,0.06,0,0
16:799,-0.03,0,0
16:899,-0.09,0,0
16:999,0.03,0,0
17:100,0.03,0,0
17:190,-0.04,0,0
17:288,-0.06,0,0
17:391,0.07,0,0
17:489,-0.02,0,0
17:590,-0.05,0,0
17:673,0.05,0,0
17:772,-0.08,0,0
17:874,0.0,0,0
17:974,0.1,0,0
18:064,-0.12,0,0
18:158,-0.07,0,0
18:258,0.16,0,0
18:362,-0.07,0,0
18:456,-0.17,0,0
18:540,0.08,0,0
